,Aspect,Document,Sentiment,Dataset
397,FOOD#QUALITY,The filet mignon dish was superb!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
404,FOOD#QUALITY,The sushi is amazing!!!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
408,FOOD#QUALITY,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
409,FOOD#QUALITY,We were very disappointed.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
410,FOOD#QUALITY,We won't go to this place again for a good meal.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
414,FOOD#QUALITY,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
426,FOOD#QUALITY,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
428,FOOD#QUALITY,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
429,FOOD#QUALITY,Fish was overdone.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
431,FOOD#QUALITY,Someone else recommended the dessert - we also left that.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
436,FOOD#QUALITY,Their tuna tartar appetizer is to die for.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
437,FOOD#QUALITY,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
438,FOOD#QUALITY,It is simply amazing.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
444,FOOD#QUALITY,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
445,FOOD#QUALITY,No gimmicks here -- the food speaks for itself in its freshness and preparation.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
448,FOOD#QUALITY,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
453,FOOD#QUALITY,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
455,FOOD#QUALITY,It was divine melts in your mouth.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
456,FOOD#QUALITY,My boyfriend had Prime Rib it was good .,positive,ABSA16_Restaurants_Train_SB1_v2.csv
459,FOOD#QUALITY,It's cuz it's so good you need to taste it!!!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
461,FOOD#QUALITY,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
462,FOOD#QUALITY,If you like spicy food get the chicken vindaloo.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
463,FOOD#QUALITY,It's very spicy but not offensive.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
468,FOOD#QUALITY,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
474,FOOD#QUALITY,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
476,FOOD#QUALITY,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
484,FOOD#QUALITY,Our food was great too!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
490,FOOD#QUALITY,The food was pretty tradional but it was hot and good with large portions.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
496,FOOD#QUALITY,"The food however, is what one might expect.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
497,FOOD#QUALITY,It is very overpriced and not very tasty.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
503,FOOD#QUALITY,Food was good not great not worth the wait or another visit,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
504,FOOD#QUALITY,Great pizza for lunch place.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
506,FOOD#QUALITY,The pizza was great.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
510,FOOD#QUALITY,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
515,FOOD#QUALITY,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
516,FOOD#QUALITY,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
517,FOOD#QUALITY,They have a huge selection of different cream cheeses and all of their salads are great.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
518,FOOD#QUALITY,The lox is always fresh too.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
522,FOOD#QUALITY,Not impressed with the food.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
530,FOOD#QUALITY,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
531,FOOD#QUALITY,Thius is a must for anyone who loves Shabu-Shabu.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
536,FOOD#QUALITY,Taxan delicious!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
545,FOOD#QUALITY,Try green curry with vegetables.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
549,FOOD#QUALITY,I had the best ravioli ever.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
559,FOOD#QUALITY,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
560,FOOD#QUALITY,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
566,FOOD#QUALITY,"I found the food, service and value exceptional everytime I have been there.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
567,FOOD#QUALITY,The food was authentic.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
568,FOOD#QUALITY,I felt as though I were eating in Paris.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
573,FOOD#QUALITY,Who has room for Cheesesticks with the best pizza in NYC!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
574,FOOD#QUALITY,Get the pepperoni - YUM - and a family style salad.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
579,FOOD#QUALITY,"The food is good, I can't lie.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
588,FOOD#QUALITY,I ate here a week ago and found most dishes average at best and too expensive.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
590,FOOD#QUALITY,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
594,FOOD#QUALITY,"Most importantly, food is excellent.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
595,FOOD#QUALITY,Try the sea bass.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
597,FOOD#QUALITY,First of all Dal Bukhara Rocks.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
600,FOOD#QUALITY,I am happy i did the food was awsome.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
601,FOOD#QUALITY,JUST AWSOME.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
602,FOOD#QUALITY,and yes Dal Bukhara is so dam good and so are all the kababs.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
608,FOOD#QUALITY,The fish was not fresh and the rice tasted old and stale.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
609,FOOD#QUALITY,"Quite frankly, this is some of the worst sushi I have ever tried.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
611,FOOD#QUALITY,honestly the worst sushi my husband and i had in our entire lives.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
614,FOOD#QUALITY,the all-u-can-eat sushi is definitely in very poor quality.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
616,FOOD#QUALITY,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
624,FOOD#QUALITY,"The dinner was ok, nothing I would have again.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
625,FOOD#QUALITY,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
627,FOOD#QUALITY,With the theater 2 blocks away we had a delicious meal in a beautiful room.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
631,FOOD#QUALITY,"We love the food, drinks, and atmosphere!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
633,FOOD#QUALITY,"Try the Pad Thai, it's fabulous and their prices are so cheap!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
643,FOOD#QUALITY,They have authentic Indian at amazin prices.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
648,FOOD#QUALITY,The food is tasty and portion sizes are appropriate.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
652,FOOD#QUALITY,Food is excellent.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
653,FOOD#QUALITY,Fish is so very fresh.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
656,FOOD#QUALITY,Mermaid Inn is an overall good restaurant with really good seafood.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
658,FOOD#QUALITY,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
661,FOOD#QUALITY,"Even though its good seafood, the prices are too high.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
662,FOOD#QUALITY,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
666,FOOD#QUALITY,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
670,FOOD#QUALITY,We ate at this Thai place following the reviews but very unhappy with the foods.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
671,FOOD#QUALITY,We thought that this place is using too much of MSG cooking in the foods.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
676,FOOD#QUALITY,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
680,FOOD#QUALITY,Have frequented 'ino for several years and the food remains excellent.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
681,FOOD#QUALITY,Cheese plate is a varied delight and great bargain at $10.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
683,FOOD#QUALITY,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)",positive,ABSA16_Restaurants_Train_SB1_v2.csv
685,FOOD#QUALITY,"Be sure to try the seasonal, and always delicious, specials.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
689,FOOD#QUALITY,"The food was very good, a great deal, and the place its self was great.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
707,FOOD#QUALITY,I would definitely recommend SEA if you like thai cuisine!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
724,FOOD#QUALITY,The food is great and reasonably priced.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
729,FOOD#QUALITY,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
731,FOOD#QUALITY,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
733,FOOD#QUALITY,Fresh ingredients and everything is made to order.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
737,FOOD#QUALITY,"I found the food to be outstanding, particulary the salmon dish I had.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
739,FOOD#QUALITY,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
743,FOOD#QUALITY,The food was good.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
748,FOOD#QUALITY,The food was average or above including some surprising tasty dishes.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
751,FOOD#QUALITY,I got an excellent piece of cheesecake and we had several other nice pastries.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
752,FOOD#QUALITY,"I would recommend Roxy's for that, but not for their food.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
759,FOOD#QUALITY,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
760,FOOD#QUALITY,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
761,FOOD#QUALITY,And the Tom Kha soup was pathetic.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
762,FOOD#QUALITY,If you want good authentic Thai this place is not the place to go.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
763,FOOD#QUALITY,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
764,FOOD#QUALITY,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
768,FOOD#QUALITY,We had the lobster sandwich and it was FANTASTIC.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
770,FOOD#QUALITY,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
774,FOOD#QUALITY,love the food.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
775,FOOD#QUALITY,it's the only place you can get yummy authentic japanese comfort food.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
780,FOOD#QUALITY,"Great food, good size menu, great service and an unpretensious setting.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
781,FOOD#QUALITY,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",positive,ABSA16_Restaurants_Train_SB1_v2.csv
784,FOOD#QUALITY,"The freshest, best variety, and the fastest delivery.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
788,FOOD#QUALITY,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
791,FOOD#QUALITY,"Average to good Thai food, but terrible delivery.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
795,FOOD#QUALITY,"The food arrived 20 minutes after I called, cold and soggy.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
804,FOOD#QUALITY,We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
812,FOOD#QUALITY,"The food is outstanding and the service is quick, friendly and very professional.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
818,FOOD#QUALITY,"By far, the best pizza in Manhattan.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
819,FOOD#QUALITY,"The crust is thin, the ingredients are fresh and the staff is friendly.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
825,FOOD#QUALITY,"The fish was really,really fresh.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
829,FOOD#QUALITY,All of the pizzas are terrific and the price is even better!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
830,FOOD#QUALITY,I highly recommend the Sophia pizza.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
831,FOOD#QUALITY,It's to die for!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
832,FOOD#QUALITY,The food was mediocre at best but it was the horrible service that made me vow never to go back.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
839,FOOD#QUALITY,"For the people who want great food plus great service, Roxy is a place to AVOID!",negative,ABSA16_Restaurants_Train_SB1_v2.csv
841,FOOD#QUALITY,"The first time the sushi was outstanding, the second time it was a little bland.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
845,FOOD#QUALITY,"While their kitchen food is delicious, their Sushi is out of this world.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
847,FOOD#QUALITY,"Not only is the cuisine the best around, the service has always been attentive and charming.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
850,FOOD#QUALITY,I ordered the smoked salmon and roe appetizer and it was off flavor.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
851,FOOD#QUALITY,"The entree was bland and small, dessert was not inspired.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
857,FOOD#QUALITY,Authentic Taiwanese food that's cheap... what more could you ask for?,positive,ABSA16_Restaurants_Train_SB1_v2.csv
859,FOOD#QUALITY,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
860,FOOD#QUALITY,delicious simple food in nice outdoor atmosphere.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
862,FOOD#QUALITY,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,positive,ABSA16_Restaurants_Train_SB1_v2.csv
863,FOOD#QUALITY,My friend devoured her chicken and mashed potatos.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
864,FOOD#QUALITY,Delicious crab cakes too.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
868,FOOD#QUALITY,"Their calzones are horrific, bad, vomit-inducing, YUCK.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
869,FOOD#QUALITY,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
874,FOOD#QUALITY,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
876,FOOD#QUALITY,"The sandwiches are dry, tasteless and way overpriced.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
880,FOOD#QUALITY,"Best Italian food I ever had (and being Italian, that means alot).",positive,ABSA16_Restaurants_Train_SB1_v2.csv
885,FOOD#QUALITY,"The food is good, especially their more basic dishes, and the drinks are delicious.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
887,FOOD#QUALITY,Great sushi experience.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
889,FOOD#QUALITY,Unique apppetizers.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
890,FOOD#QUALITY,Try sushimi cucumber roll.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
891,FOOD#QUALITY,"Good spreads, great beverage selections and bagels really tasty.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
903,FOOD#QUALITY,I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
907,FOOD#QUALITY,The pizza is delicious and the proprietor is one of the nicest in NYC.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
912,FOOD#QUALITY,The cream cheeses are out of this world and I love that coffee!!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
915,FOOD#QUALITY,"Bagels are ok, but be sure not to make any special requests!",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
917,FOOD#QUALITY,Be sure not to get anything other than bagels!..,negative,ABSA16_Restaurants_Train_SB1_v2.csv
918,FOOD#QUALITY,the turkey burgers are scary!,negative,ABSA16_Restaurants_Train_SB1_v2.csv
919,FOOD#QUALITY,The worst excuse for Japanese food I've ever encountered.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
920,FOOD#QUALITY,The soup for the udon was soy sauce and water.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
921,FOOD#QUALITY,The sushi was awful!,negative,ABSA16_Restaurants_Train_SB1_v2.csv
922,FOOD#QUALITY,The rice was poor quality and was cooked so badly it was hard.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
923,FOOD#QUALITY,"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
925,FOOD#QUALITY,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
928,FOOD#QUALITY,Food is great and inexpensive.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
938,FOOD#QUALITY,Awsome Pizza especially the Margheritta slice.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
943,FOOD#QUALITY,The food is reliable and the price is moderate.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
945,FOOD#QUALITY,"For authentic Thai food, look no further than Toons.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
947,FOOD#QUALITY,"Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
950,FOOD#QUALITY,The flavors robust and subtle.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
951,FOOD#QUALITY,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
956,FOOD#QUALITY,I did not try the caviar but I tried their salmon and crab salad (they are all good),positive,ABSA16_Restaurants_Train_SB1_v2.csv
960,FOOD#QUALITY,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
967,FOOD#QUALITY,I LOVE their Thai,positive,ABSA16_Restaurants_Train_SB1_v2.csv
968,FOOD#QUALITY,noodles with shrimp and chicken and coconut juice is the MUST!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
973,FOOD#QUALITY,I cannot imagine better Indian food in all of the city.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
976,FOOD#QUALITY,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
978,FOOD#QUALITY,The food now is inconsistent.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
982,FOOD#QUALITY,The food is excellent!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
983,FOOD#QUALITY,"if you're daring, try the balsamic vinegar over icecream, it's wonderful!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
984,FOOD#QUALITY,"Do not get the Go Go Hamburgers, no matter what the reviews say.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
985,FOOD#QUALITY,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
987,FOOD#QUALITY,Steamed fresh so brought hot hot hot to your table.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
989,FOOD#QUALITY,"A few tips: skip the turnip cake, roast pork buns and egg custards.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
995,FOOD#QUALITY,The food was exceptional.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
997,FOOD#QUALITY,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
999,FOOD#QUALITY,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1004,FOOD#QUALITY,The fried dumplings are GREAT!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1012,FOOD#QUALITY,"delicious bagels, especially when right out of the oven.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1013,FOOD#QUALITY,Spreads and toppings are great - though a bit pricey.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1018,FOOD#QUALITY,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1022,FOOD#QUALITY,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1023,FOOD#QUALITY,You must try the shrimp appetizers.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1024,FOOD#QUALITY,Even my Indian friend couldn't believe how good and tasty everything was.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1026,FOOD#QUALITY,"Great food, great prices, great service.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1027,FOOD#QUALITY,"If you are looking for a good quality, cheap eats - this is the place.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1028,FOOD#QUALITY,it's a perfect place to have a amanzing indian food.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1032,FOOD#QUALITY,"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1035,FOOD#QUALITY,Great bagels made the old-fashioned way.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1038,FOOD#QUALITY,The food was absolutely amazing!!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1039,FOOD#QUALITY,The baked clams octopus we shared as appetizers were the best we've ever had!!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1040,FOOD#QUALITY,"The lamb was tender so full of flavor, the dessert was divine!!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1043,FOOD#QUALITY,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
1044,FOOD#QUALITY,"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1045,FOOD#QUALITY,Dessert is a joke...dont bother,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1048,FOOD#QUALITY,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1057,FOOD#QUALITY,"Great food, great decor, great service.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1073,FOOD#QUALITY,The shrimp scampi was excellent and the antipasti were plentiful.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1076,FOOD#QUALITY,The only thing more wonderful than the food (which is exceptional) is the service.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1081,FOOD#QUALITY,"Food was very good, but not what I would consider out of this world.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
1084,FOOD#QUALITY,Too bad the food wasn't of the same heritage.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1085,FOOD#QUALITY,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1086,FOOD#QUALITY,A real dissapointment.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1087,FOOD#QUALITY,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1088,FOOD#QUALITY,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1091,FOOD#QUALITY,"Everything I had was good, and I'm a eater.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1093,FOOD#QUALITY,This place has the best Chinese style BBQ ribs in the city.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1094,FOOD#QUALITY,I also recommend the rice dishes or the different varieties of congee (rice porridge).,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1097,FOOD#QUALITY,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1103,FOOD#QUALITY,"The food is wonderful, tasty and filling, and the service is professional and friendly.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
