,aspect,document,sentiment,dataset
1353,FOOD#PRICES,Not cheap but very yummy.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
353,FOOD#PRICES,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",positive,ABSA16_Restaurants_Train_SB1_v2.csv
758,FOOD#PRICES,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
677,FOOD#PRICES,The food is so cheap and the waiters are nice.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1645,FOOD#PRICES,"Can't argue about that, but they are clearly over priced.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
852,FOOD#PRICES,I expected quite a bit more from such an expensive menu.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
471,FOOD#PRICES,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
990,FOOD#PRICES,These are overpriced and you can get better just around the corner:,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1428,DRINKS#QUALITY,Mine tasted like the bartender had forgotten to add the tequila.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1292,DRINKS#QUALITY,"Interesting selection, good wines, service fine, fun decor.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1427,DRINKS#QUALITY,"Don't get me started on the margaritas, either.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1231,DRINKS#QUALITY,Always good drinks and service is pretty good;,positive,ABSA16_Restaurants_Train_SB1_v2.csv
772,DRINKS#QUALITY,We waited at the bar and had martinis that were just right.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1062,DRINKS#QUALITY,Guaranteed to be a tasty experience!),positive,ABSA16_Restaurants_Train_SB1_v2.csv
1805,DRINKS#QUALITY,The sake’s complimented the courses very well and is successfully easing me into the sake world.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1167,DRINKS#QUALITY,go here for the drinks!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1061,DRINKS#QUALITY,(Always ask the bartender for the SEASONAL beer!!!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1170,DRINKS#QUALITY,the drinks are amazing and half off till 8pm.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
447,KEYBOARD#DESIGN_FEATURES,"The keys on the keyboard are evenly spaced and are back-lit, which make it easy to use at night and for speed writing (Typing?).",,EN_LAPT_SB1_TEST_.B.csv
2479,KEYBOARD#DESIGN_FEATURES,The keyboard is backlit but you have to press the F5 key to turn it on.,positive,ABSA16_Laptops_Train_SB1_v2.csv
2124,KEYBOARD#DESIGN_FEATURES,I like the number pad for work so that's nice,positive,ABSA16_Laptops_Train_SB1_v2.csv
1905,KEYBOARD#DESIGN_FEATURES,plus this computer comes with a full size keyboard.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1889,KEYBOARD#DESIGN_FEATURES,The keyboard is a little wonky with having to use the Function button to get the F-keys but with how infrequently i use those it is a non-issue.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1448,KEYBOARD#DESIGN_FEATURES,i also love having the extra calculator number set up on the keyboard which most laptops do not have.,positive,ABSA16_Laptops_Train_SB1_v2.csv
539,KEYBOARD#DESIGN_FEATURES,There is no number pad to the right of the keyboard which is a bummer.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1449,KEYBOARD#DESIGN_FEATURES,also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,negative,ABSA16_Laptops_Train_SB1_v2.csv
830,KEYBOARD#DESIGN_FEATURES,I was disappointed when I realized that the keyboard doesn't light up on this model.,negative,ABSA16_Laptops_Train_SB1_v2.csv
219,KEYBOARD#DESIGN_FEATURES,Keyboard is reasonable size.,positive,ABSA16_Laptops_Train_SB1_v2.csv
178,DISPLAY#DESIGN_FEATURES,- It's not touchscreen!,,EN_LAPT_SB1_TEST_.B.csv
345,DISPLAY#DESIGN_FEATURES,I wanted a simple Full HD display and this one does its job,,EN_LAPT_SB1_TEST_.B.csv
656,DISPLAY#DESIGN_FEATURES,"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1957,DISPLAY#DESIGN_FEATURES,"Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing",positive,ABSA16_Laptops_Train_SB1_v2.csv
1732,DISPLAY#DESIGN_FEATURES,"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",positive,ABSA16_Laptops_Train_SB1_v2.csv
312,DISPLAY#DESIGN_FEATURES,The touchscreen and 2-in-1 capability is a huge bonus and it is really easy to carry around to your classes.,,EN_LAPT_SB1_TEST_.B.csv
2064,DISPLAY#DESIGN_FEATURES,Doesn't have touch screen but I have a tablet so that wasn't so important.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
959,DISPLAY#DESIGN_FEATURES,The screen is very large and crystal clear with amazing colors and resolution.,positive,ABSA16_Laptops_Train_SB1_v2.csv
140,DISPLAY#DESIGN_FEATURES,because it is a touch screen you don't even need a mouse.,,EN_LAPT_SB1_TEST_.B.csv
1565,DISPLAY#DESIGN_FEATURES,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",negative,ABSA16_Laptops_Train_SB1_v2.csv
429,MULTIMEDIA_DEVICES#QUALITY,The quality of the sound is nice but the lack of volume really kills it for me.,,EN_LAPT_SB1_TEST_.B.csv
1519,MULTIMEDIA_DEVICES#QUALITY,"Again, the same problem, the right speaker did not work.",negative,ABSA16_Laptops_Train_SB1_v2.csv
346,MULTIMEDIA_DEVICES#QUALITY,4. Sound is great,,EN_LAPT_SB1_TEST_.B.csv
2230,MULTIMEDIA_DEVICES#QUALITY,Even the sound is fantastic,positive,ABSA16_Laptops_Train_SB1_v2.csv
200,MULTIMEDIA_DEVICES#QUALITY,I dislike the quality and the placement of the speakers.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1757,MULTIMEDIA_DEVICES#QUALITY,"Also, the sound quality from the speakers is crystal clear, and everything is just sleek and smooth.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2008,MULTIMEDIA_DEVICES#QUALITY,No bass sound at all.,negative,ABSA16_Laptops_Train_SB1_v2.csv
512,MULTIMEDIA_DEVICES#QUALITY,I am using the external speaker- sound is good.,positive,ABSA16_Laptops_Train_SB1_v2.csv
2007,MULTIMEDIA_DEVICES#QUALITY,The sound is disappointing.,negative,ABSA16_Laptops_Train_SB1_v2.csv
679,MULTIMEDIA_DEVICES#QUALITY,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",negative,ABSA16_Laptops_Train_SB1_v2.csv
873,OS#USABILITY,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",positive,ABSA16_Laptops_Train_SB1_v2.csv
324,OS#USABILITY,I have only had PCs with Windows before so this takes a little getting use to.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
61,OS#USABILITY,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",neutral,ABSA16_Laptops_Train_SB1_v2.csv
2439,OS#USABILITY,Operating a non touch screen on this system is a royal pain!,negative,ABSA16_Laptops_Train_SB1_v2.csv
736,OS#USABILITY,I watched tutorials and that helped somewhat but not enough.,,EN_LAPT_SB1_TEST_.B.csv
226,OS#USABILITY,"The OS is easy, and offers all kinds of surprises.",,EN_LAPT_SB1_TEST_.B.csv
1609,OS#USABILITY,The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1435,OS#USABILITY,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2126,OS#USABILITY,"It took some getting used to on the Widows 8.1, after being an XP user for many years.",neutral,ABSA16_Laptops_Train_SB1_v2.csv
70,OS#USABILITY,I have to admit that the operating system is different and does take time to learn but I like it.,,EN_LAPT_SB1_TEST_.B.csv
552,MOUSE#OPERATION_PERFORMANCE,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,negative,ABSA16_Laptops_Train_SB1_v2.csv
315,MOUSE#OPERATION_PERFORMANCE,"The touchpad is extremely sensitive, which is the only drawback.",negative,ABSA16_Laptops_Train_SB1_v2.csv
2381,MOUSE#OPERATION_PERFORMANCE,"Today, it hasn't worked at all more than it has.",negative,ABSA16_Laptops_Train_SB1_v2.csv
913,MOUSE#OPERATION_PERFORMANCE,the mouse jumps around all the time and it clicks stuff i dont want it too.,negative,ABSA16_Laptops_Train_SB1_v2.csv
2323,MOUSE#OPERATION_PERFORMANCE,It was not responsive at all to touch.,negative,ABSA16_Laptops_Train_SB1_v2.csv
266,MOUSE#OPERATION_PERFORMANCE,Sometimes you really have to tap the pad to get it to work,negative,ABSA16_Laptops_Train_SB1_v2.csv
911,MOUSE#OPERATION_PERFORMANCE,the mouse is way way way to sensitve.,negative,ABSA16_Laptops_Train_SB1_v2.csv
667,MOUSE#OPERATION_PERFORMANCE,"I play a lot of casual games online, and the touchpad is very responsive.",positive,ABSA16_Laptops_Train_SB1_v2.csv
573,MOUSE#OPERATION_PERFORMANCE,"I had to adjust my mousepad sensitivity, because it is very sensitive.",negative,ABSA16_Laptops_Train_SB1_v2.csv
2379,MOUSE#OPERATION_PERFORMANCE,"The touchpad hasn't worked correctly since delivery though in the beginning, I thought perhaps it was just a bit of a quirk since most touchpads I've worked with have some inherent oddities.",negative,ABSA16_Laptops_Train_SB1_v2.csv
169,LAPTOP#PORTABILITY,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,positive,ABSA16_Laptops_Train_SB1_v2.csv
13,LAPTOP#PORTABILITY,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",positive,ABSA16_Laptops_Train_SB1_v2.csv
494,LAPTOP#PORTABILITY,Has met or exceeded my needs for a compact travel device.,positive,ABSA16_Laptops_Train_SB1_v2.csv
8,LAPTOP#PORTABILITY,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,positive,ABSA16_Laptops_Train_SB1_v2.csv
669,LAPTOP#PORTABILITY,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",positive,ABSA16_Laptops_Train_SB1_v2.csv
205,LAPTOP#PORTABILITY,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",negative,ABSA16_Laptops_Train_SB1_v2.csv
636,LAPTOP#PORTABILITY,The 15.6&amp;#34; screen is not good for carrying around in your bare hands.,,EN_LAPT_SB1_TEST_.B.csv
245,LAPTOP#PORTABILITY,"It's portable, reliable, and great for what I use it for.",,EN_LAPT_SB1_TEST_.B.csv
1663,LAPTOP#PORTABILITY,I also travel with it and it never gives me any problems.,positive,ABSA16_Laptops_Train_SB1_v2.csv
199,LAPTOP#PORTABILITY,"I dislike the weight and size, cubersome.",negative,ABSA16_Laptops_Train_SB1_v2.csv
81,SOFTWARE#GENERAL,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
2128,SOFTWARE#GENERAL,Only downfall is the preloaded McAfee and other software.,negative,ABSA16_Laptops_Train_SB1_v2.csv
516,SOFTWARE#GENERAL,The games included are very good games.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1198,SOFTWARE#GENERAL,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1953,SOFTWARE#GENERAL,The Lenovo software that comes preinstalled may qualify as bloatware but is easily removed if you're not interested in it.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
470,SOFTWARE#GENERAL,"The Mac app store is your one-stop shop for Mac software, though you can also download software online at your own risk.",,EN_LAPT_SB1_TEST_.B.csv
469,SOFTWARE#GENERAL,The Mac app store and iTunes store are phenomenal.,,EN_LAPT_SB1_TEST_.B.csv
1013,SOFTWARE#GENERAL,It is SO much fun to play with.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1588,SOFTWARE#GENERAL,"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1388,SOFTWARE#GENERAL,"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",negative,ABSA16_Laptops_Train_SB1_v2.csv
1117,SOFTWARE#USABILITY,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",positive,ABSA16_Laptops_Train_SB1_v2.csv
785,SOFTWARE#USABILITY,The only thing I have had trouble with so far is transferring music to iTunes which I would have liked to do though &amp;#34;Home Sharing&amp;#34; (I used iTunes on a computer separate from my Linux computer) but I could not figure that out.,,EN_LAPT_SB1_TEST_.B.csv
152,SOFTWARE#USABILITY,The apps are very easy to use.,,EN_LAPT_SB1_TEST_.B.csv
621,SOFTWARE#USABILITY,This comes in very handy for me as an educator.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1734,SOFTWARE#USABILITY,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,negative,ABSA16_Laptops_Train_SB1_v2.csv
786,SOFTWARE#USABILITY,I just ended up using my iPod to transfer my iTunes music and I re-downloaded my Amazon music (losing my ratings).,,EN_LAPT_SB1_TEST_.B.csv
857,SOFTWARE#USABILITY,It seems to be incompatible with everything else.,negative,ABSA16_Laptops_Train_SB1_v2.csv
619,SOFTWARE#USABILITY,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,positive,ABSA16_Laptops_Train_SB1_v2.csv
241,SOFTWARE#USABILITY,"If you want to use the Internet, then you can make your icons jump out from the bottom of the screen, like a magnifying glass is projecting onto the selected icon.",,EN_LAPT_SB1_TEST_.B.csv
407,SOFTWARE#USABILITY,"The only reason I returned it was because I bought it to use the touchscreen with photoshop and because of the program, it could not utilize the touchscreen within the work space except to zoom and rotate.",,EN_LAPT_SB1_TEST_.B.csv
150,DISPLAY#GENERAL,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",positive,ABSA16_Laptops_Train_SB1_v2.csv
178,DISPLAY#GENERAL,Also the display is exceptional!,positive,ABSA16_Laptops_Train_SB1_v2.csv
592,DISPLAY#GENERAL,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1611,DISPLAY#GENERAL,Lightweight and the screen is beautiful!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1702,DISPLAY#GENERAL,"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1964,DISPLAY#GENERAL,The retina screen is absolutely beautiful and the touchpad is the best touchpad to date.,positive,ABSA16_Laptops_Train_SB1_v2.csv
249,DISPLAY#GENERAL,- Touchscreen is great.,,EN_LAPT_SB1_TEST_.B.csv
1706,DISPLAY#GENERAL,I hate the display screen and I have done everything I could do the change it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1164,DISPLAY#GENERAL,"Screen is awesome, battery life is good.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1030,DISPLAY#GENERAL,The display is beyond horrible.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1499,LOCATION#GENERAL,The high prices you're going to pay is for the view not for the food.,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
883,LOCATION#GENERAL,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1273,LOCATION#GENERAL,I would highly recommand requesting a table by the window.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1228,LOCATION#GENERAL,"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
543,LOCATION#GENERAL,The location and ambience is Ok but the food is what makes up for it.,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
152,LOCATION#GENERAL,Located at the end of a magnificent block.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
884,LOCATION#GENERAL,"It is set far from the small street it's on, and there is no traffic noise.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
929,LOCATION#GENERAL,The location is perfect.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1796,LOCATION#GENERAL,"Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
185,LOCATION#GENERAL,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
205,DRINKS#STYLE_OPTIONS,The bar is very well stocked with interesting beers and well priced wines.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
684,DRINKS#STYLE_OPTIONS,Wine list is extensive without being over-priced.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
259,DRINKS#STYLE_OPTIONS,Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1049,DRINKS#STYLE_OPTIONS,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
9,DRINKS#STYLE_OPTIONS,The wine list is interesting and has many good values.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1301,DRINKS#STYLE_OPTIONS,The wine list is extensive and impressive.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
467,DRINKS#STYLE_OPTIONS,The wine list is excellent.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
33,DRINKS#STYLE_OPTIONS,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1509,DRINKS#STYLE_OPTIONS,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
178,DRINKS#STYLE_OPTIONS,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
163,DISPLAY#OPERATION_PERFORMANCE,There is a blank lighted screen when I start and that is all.,negative,ABSA16_Laptops_Train_SB1_v2.csv
2490,DISPLAY#OPERATION_PERFORMANCE,used 6 times black screen returned for refund,negative,ABSA16_Laptops_Train_SB1_v2.csv
1724,DISPLAY#OPERATION_PERFORMANCE,Eventually the screen went blank and the computer would not turn on.,negative,ABSA16_Laptops_Train_SB1_v2.csv
755,DISPLAY#OPERATION_PERFORMANCE,It tried to boot up and the screen just flashed over and over and over again.,,EN_LAPT_SB1_TEST_.B.csv
1061,DISPLAY#OPERATION_PERFORMANCE,First the screen goes completely out.,negative,ABSA16_Laptops_Train_SB1_v2.csv
2119,DISPLAY#OPERATION_PERFORMANCE,The touch screen response is fast and it picks up bluetooth and wifi FAST.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1063,DISPLAY#OPERATION_PERFORMANCE,"Now the screen is going darker, darker, darker.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1554,DISPLAY#OPERATION_PERFORMANCE,After 20-30 min the screen of the notebook switched off.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1555,DISPLAY#OPERATION_PERFORMANCE,"It was still working, but there was nothing on the screen.",negative,ABSA16_Laptops_Train_SB1_v2.csv
640,DISPLAY#OPERATION_PERFORMANCE,I can hear the noise of the computer turning on and the lights also turn on but the screen in completely dead.,,EN_LAPT_SB1_TEST_.B.csv
509,KEYBOARD#QUALITY,My Laptop's one of the Key from keyboard came out and it was mechanical failure.,,EN_LAPT_SB1_TEST_.B.csv
2328,KEYBOARD#QUALITY,The 'A' key became jammed so that sometimes it wouldn't press in.,negative,ABSA16_Laptops_Train_SB1_v2.csv
325,KEYBOARD#QUALITY,The real stand out on this computer is the feel of the keyboard and it's speed.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1270,KEYBOARD#QUALITY,The letter A stopped working after the first week.,negative,ABSA16_Laptops_Train_SB1_v2.csv
603,KEYBOARD#QUALITY,Keyboard is flimsy and mediocre at best.,,EN_LAPT_SB1_TEST_.B.csv
1443,KEYBOARD#QUALITY,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,negative,ABSA16_Laptops_Train_SB1_v2.csv
703,KEYBOARD#QUALITY,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,negative,ABSA16_Laptops_Train_SB1_v2.csv
215,KEYBOARD#QUALITY,The keyboard has a wonderful nature feel.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1645,KEYBOARD#QUALITY,The keyboard is top notch.,positive,ABSA16_Laptops_Train_SB1_v2.csv
2199,KEYBOARD#QUALITY,Keyboard is sturdy.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1036,HARD_DISC#DESIGN_FEATURES,I could not even put my entire music collection on this garabage.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1035,HARD_DISC#DESIGN_FEATURES,Not to mention it has shit gigs.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1037,HARD_DISC#DESIGN_FEATURES,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,negative,ABSA16_Laptops_Train_SB1_v2.csv
585,HARD_DISC#DESIGN_FEATURES,"Bigger HD, better graphics card, and a bid HD.",positive,ABSA16_Laptops_Train_SB1_v2.csv
526,HARD_DISC#DESIGN_FEATURES,Pros  1. Amazing storage (both 500gig and 750gig),,EN_LAPT_SB1_TEST_.B.csv
297,HARD_DISC#DESIGN_FEATURES,"That is plenty of space for your laptop, which really comes in handy for college students and computer gamers.",,EN_LAPT_SB1_TEST_.B.csv
4,HARD_DISC#DESIGN_FEATURES,and plenty of storage with 250 gb(though I will upgrade this and the ram..),positive,ABSA16_Laptops_Train_SB1_v2.csv
524,HARD_DISC#DESIGN_FEATURES,"I myself had purchased the 750 gig drive laptop and as a DJ with thousands of songs, pictures, and other things...and after 3 years I have managed to fill around 9% of my gigs.",,EN_LAPT_SB1_TEST_.B.csv
525,HARD_DISC#DESIGN_FEATURES,There is SO MUCH ROOM!,,EN_LAPT_SB1_TEST_.B.csv
18,HARD_DISC#DESIGN_FEATURES,Plus you get 500GB which is also a great feature.,,EN_LAPT_SB1_TEST_.B.csv
176,MOUSE#DESIGN_FEATURES,I love the glass touchpad.,positive,ABSA16_Laptops_Train_SB1_v2.csv
455,MOUSE#DESIGN_FEATURES,"The glass track pad is large enough for Apple's highly acclaimed multi-touch gestures for scrolling through web pages with two fingers, zooming in on certain parts of certain apps by double tapping with two fingers, accessing launchpad by pinching with five fingers and using mission control by swiping up with four fingers.",,EN_LAPT_SB1_TEST_.B.csv
871,MOUSE#DESIGN_FEATURES,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",positive,ABSA16_Laptops_Train_SB1_v2.csv
1096,MOUSE#DESIGN_FEATURES,It had the full sized touch pad with 2 buttons instead of just one.,positive,ABSA16_Laptops_Train_SB1_v2.csv
64,MOUSE#DESIGN_FEATURES,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,positive,ABSA16_Laptops_Train_SB1_v2.csv
457,MOUSE#DESIGN_FEATURES,"For Windows users switching to a Mac, you can also enable right clicking (known to apple as secondary click) in the system preferences&gt; Mouse and enabling right clicking.",,EN_LAPT_SB1_TEST_.B.csv
2200,MOUSE#DESIGN_FEATURES,"The touch pad takes a little getting used to as the ""click"" buttons are on top instead of the bottom.",neutral,ABSA16_Laptops_Train_SB1_v2.csv
1437,MOUSE#DESIGN_FEATURES,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",positive,ABSA16_Laptops_Train_SB1_v2.csv
75,MOUSE#DESIGN_FEATURES,The touchpad is a little &quot;clunky&quot; for my taste; I use a small external mouse with laptops  in any event.,,EN_LAPT_SB1_TEST_.B.csv
2354,MOUSE#DESIGN_FEATURES,"But the  touchpad is soooooooooo big that whenever I am typing, my palm touches some part of it and then the cursor goes somewhere else and it's really annoying.",negative,ABSA16_Laptops_Train_SB1_v2.csv
604,MOUSE#QUALITY,The touch pad feel is a 4 on scale  1 - 10.,,EN_LAPT_SB1_TEST_.B.csv
2179,MOUSE#QUALITY,The mouse pad however is very loud which is why i gave it four stars.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1071,MOUSE#QUALITY,The only thing I would change about it is the mouse keys.,negative,ABSA16_Laptops_Train_SB1_v2.csv
613,MOUSE#QUALITY,The trackpad is pretty crappy - but aren't they all?,,EN_LAPT_SB1_TEST_.B.csv
1073,MOUSE#QUALITY,"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",negative,ABSA16_Laptops_Train_SB1_v2.csv
1072,MOUSE#QUALITY,They click.,negative,ABSA16_Laptops_Train_SB1_v2.csv
364,MOUSE#QUALITY,"I've owned this labtop for less then two months, already the mouse button has broke.",negative,ABSA16_Laptops_Train_SB1_v2.csv
2380,MOUSE#QUALITY,"This one however, is now very loose and I have to either tap hard or repeatedly push to click in order for it to work, Then suddenly, I can barely touch it at all and it clicks on its own.",negative,ABSA16_Laptops_Train_SB1_v2.csv
2310,MOUSE#QUALITY,They are loud and clunky but I figured I'd get used to it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
123,MOUSE#QUALITY,"Then just the other day, my left ""mouse"" button snapped!",negative,ABSA16_Laptops_Train_SB1_v2.csv
1151,SOFTWARE#OPERATION_PERFORMANCE,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2283,SOFTWARE#OPERATION_PERFORMANCE,"In addition, no matter what I do to change the settings, add/delete Flash, etc., Firefox hangs on start-up.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1589,SOFTWARE#OPERATION_PERFORMANCE,The program came with the computer and works beautifully.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1729,SOFTWARE#OPERATION_PERFORMANCE,"The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.",negative,ABSA16_Laptops_Train_SB1_v2.csv
752,SOFTWARE#OPERATION_PERFORMANCE,"Opening photoshop takes FOooooooRRREVER, as do all programs that do not begin with an 'i'.",,EN_LAPT_SB1_TEST_.B.csv
946,SOFTWARE#OPERATION_PERFORMANCE,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,negative,ABSA16_Laptops_Train_SB1_v2.csv
443,SOFTWARE#OPERATION_PERFORMANCE,"Apps launch super fast, and the 500GB HDD is more than sufficient.",,EN_LAPT_SB1_TEST_.B.csv
944,SOFTWARE#OPERATION_PERFORMANCE,The Internet Explorer was very slow from the very beginning.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1187,SOFTWARE#OPERATION_PERFORMANCE,I have not had a problem with the applications quitting or freezing.,positive,ABSA16_Laptops_Train_SB1_v2.csv
855,SOFTWARE#OPERATION_PERFORMANCE,Love the stability of the Mac software and operating system.,positive,ABSA16_Laptops_Train_SB1_v2.csv
206,KEYBOARD#OPERATION_PERFORMANCE,The space bar sticks.,,EN_LAPT_SB1_TEST_.B.csv
1316,KEYBOARD#OPERATION_PERFORMANCE,"Also, I have had alot of trouble with the shift key to go to other lines.",negative,ABSA16_Laptops_Train_SB1_v2.csv
